constructorName,minDuration,maxDuration,avgDuration,totalDuration,numberOfStops,pitStopTimePercentage
Red Bull,13.335,47.763,23.44438344438857,1322919.6689999583,56428,0.23814609144652243
Mercedes,13.199,52.874,23.53475081215486,1304013.4729998766,55408,0.23967889625871452
Ferrari,13.259,59.555,23.700451987026682,1293546.9689999293,54579,0.24047154349548883
Force India,14.128,47.91,23.940361754631137,824649.7010000242,34446,0.2350054401791488
McLaren,13.173,59.291,23.995156781808603,1278869.8710000531,53297,0.24141916282226
Lotus F1,16.12,54.445,24.06240155714705,386321.8569999959,16055,0.23710172188577477
Renault,12.959,55.697,24.100834212201214,530170.1510000023,21998,0.24137520687030206
Aston Martin,14.118,52.043,24.24493221122723,262160.45200000005,10813,0.2574423263087978
Virgin,13.914,49.849,24.249681476257607,103158.14499999986,4254,0.20723924073505381
Toro Rosso,14.641,55.789,24.335023899104872,918452.4720000161,37742,0.24033350133370907
Williams,12.897,48.938,24.379824177996916,1355420.7049999165,55596,0.24425256723928607
Lotus,20.652,51.684,24.40420222793441,113918.81599999782,4668,0.2229551531538505
Sauber,13.201,55.222,24.636822727004603,836223.0369999902,33942,0.24212131532320633
Caterham,14.25,52.206,24.66415033166936,330918.9050000078,13417,0.23496527397801542
Alpine F1 Team,14.041,57.601,24.712653591493,246335.73100000224,9968,0.25866021406226986
AlphaTauri,13.973,56.083,24.72369545896474,356070.6620000102,14402,0.25883612340375795
Marussia,13.981,52.836,24.765498168778525,324576.61900001136,13106,0.23509940725490386
Racing Point,16.546,39.188,25.165613418531652,165413.57700000855,6573,0.267645493833158
Alfa Romeo,14.128,54.673,25.262350033512522,452297.1150000082,17904,0.2640933859975114
Haas F1 Team,14.144,58.563,25.32502025984655,738756.1659999837,29171,0.2594458389615491
Manor Marussia,16.218,57.151,26.134893176798514,224838.48599999762,8603,0.25855617881256443
HRT,14.16,56.611,26.21486997578749,216534.82600000466,8260,0.23538813050504223
