driverId,driver_name,avg_position_change
1,Lewis Hamilton,-0.5
846,Lando Norris,-0.6595744680851063
822,Valtteri Bottas,-0.6901408450704225
102,Ayrton Senna,-1.0
857,Oscar Piastri,-1.3333333333333333
3,Nico Rosberg,-1.3737864077669903
850,Pietro Fittipaldi,-1.5
844,Charles Leclerc,-1.6434782608695653
20,Sebastian Vettel,-1.645484949832776
830,Max Verstappen,-1.9142857142857144
851,Jack Aitken,-2.0
13,Felipe Massa,-2.0817120622568095
30,Michael Schumacher,-2.109375
842,Pierre Gasly,-2.2016806722689077
95,Nigel Mansell,-2.3333333333333335
8,Kimi Räikkönen,-2.4143302180685358
817,Daniel Ricciardo,-2.4334763948497855
841,Antonio Giovinazzi,-2.4918032786885247
9,Robert Kubica,-2.494949494949495
807,Nico Hülkenberg,-2.528205128205128
17,Mark Webber,-2.5841584158415842
814,Paul di Resta,-2.694915254237288
848,Alexander Albon,-2.7142857142857144
815,Sergio Pérez,-2.7379032258064515
77,Gerhard Berger,-2.847826086956522
832,Carlos Sainz,-2.867816091954023
31,Juan Pablo Montoya,-2.921875
71,Damon Hill,-2.9661016949152543
4,Fernando Alonso,-3.0679886685552407
839,Esteban Ocon,-3.1065573770491803
825,Kevin Magnussen,-3.176470588235294
852,Yuki Tsunoda,-3.1785714285714284
856,Nyck de Vries,-3.1818181818181817
847,George Russell,-3.25531914893617
826,Daniil Kvyat,-3.3839285714285716
854,Mick Schumacher,-3.395348837209302
834,Alexander Rossi,-3.4
18,Jenson Button,-3.5247148288973382
23,Ralf Schumacher,-3.5981308411214954
22,Rubens Barrichello,-3.6415929203539825
57,Mika Häkkinen,-3.725806451612903
154,Romain Grosjean,-3.7403314917127073
855,Guanyu Zhou,-3.8529411764705883
6,Kazuki Nakajima,-3.861111111111111
15,Jarno Trulli,-3.8763440860215055
808,Vitaly Petrov,-4.137931034482759
821,Esteban Gutiérrez,-4.169491525423729
845,Sergey Sirotkin,-4.238095238095238
5,Heikki Kovalainen,-4.267857142857143
35,Jacques Villeneuve,-4.433734939759036
43,Cristiano da Matta,-4.464285714285714
56,Eddie Irvine,-4.46875
2,Nick Heidfeld,-4.507142857142857
829,Will Stevens,-4.555555555555555
820,Max Chilton,-4.571428571428571
14,David Coulthard,-4.575757575757576
858,Logan Sargeant,-4.583333333333333
840,Lance Stroll,-4.67910447761194
818,Jean-Éric Vergne,-4.706896551724138
813,Pastor Maldonado,-4.895833333333333
55,Jean Alesi,-4.903225806451613
849,Nicholas Latifi,-4.983606557377049
99,Gabriele Tarquini,-5.0
833,Roberto Merhi,-5.076923076923077
49,Heinz-Harald Frentzen,-5.1234567901234565
823,Giedo van der Garde,-5.157894736842105
21,Giancarlo Fisichella,-5.161290322580645
838,Stoffel Vandoorne,-5.285714285714286
38,Robert Doornbos,-5.363636363636363
824,Jules Bianchi,-5.529411764705882
67,Sébastien Buemi,-5.672727272727273
32,Christian Klien,-5.705882352941177
7,Sébastien Bourdais,-5.814814814814815
153,Jaime Alguersuari,-5.891304347826087
831,Felipe Nasr,-6.05
16,Adrian Sutil,-6.171875
10,Timo Glock,-6.276595744680851
836,Pascal Wehrlein,-6.358974358974359
843,Brendon Hartley,-6.4
11,Takuma Sato,-6.473684210526316
837,Rio Haryanto,-6.5
44,Olivier Panis,-6.554347826086956
53,Nicolas Kiesa,-6.6
816,Jérôme d'Ambrosio,-6.6
835,Jolyon Palmer,-6.628571428571429
853,Nikita Mazepin,-6.636363636363637
828,Marcus Ericsson,-6.6875
811,Bruno Senna,-6.739130434782608
155,Kamui Kobayashi,-6.8133333333333335
61,Tomáš Enge,-7.0
25,Alexander Wurz,-7.147058823529412
33,Tiago Monteiro,-7.594594594594595
819,Charles Pic,-7.615384615384615
12,Nelson Piquet Jr.,-7.642857142857143
42,Antônio Pizzonia,-7.65
24,Vitantonio Liuzzi,-7.666666666666667
65,Johnny Herbert,-7.841269841269841
19,Anthony Davidson,-7.909090909090909
78,Nicola Larini,-8.0
87,Mark Blundell,-8.066666666666666
37,Pedro de la Rosa,-8.277777777777779
84,Martin Brundle,-8.484848484848484
812,Karun Chandhok,-9.090909090909092
39,Narain Karthikeyan,-9.170212765957446
103,Éric Bernard,-9.692307692307692
26,Scott Speed,-9.821428571428571
27,Christijan Albers,-9.956521739130435
41,Ricardo Zonta,-10.0
96,Jean-Christophe Boullion,-10.0
109,Jyrki Järvilehto,-10.0
81,Gianni Morbidelli,-10.222222222222221
52,Ralph Firman,-10.285714285714286
48,Marc Gené,-10.3
29,Sakon Yamamoto,-10.380952380952381
47,Zsolt Baumgartner,-10.45
63,Mika Salo,-10.54
46,Gianmaria Bruni,-10.722222222222221
104,Christian Fittipaldi,-10.733333333333333
60,Gastón Mazzacane,-10.75
45,Giorgio Pantano,-10.785714285714286
59,Enrique Bernoldi,-11.0
40,Patrick Friesacher,-11.363636363636363
94,Pierluigi Martini,-11.666666666666666
51,Justin Wilson,-11.6875
50,Jos Verstappen,-11.789473684210526
69,Luca Badoer,-11.8
68,Toranosuke Takagi,-12.1
70,Alessandro Zanardi,-12.307692307692308
79,Ukyo Katayama,-12.375
83,Pedro Lamy,-12.38888888888889
88,Aguri Suzuki,-12.714285714285714
810,Lucas di Grassi,-12.842105263157896
91,Karl Wendlinger,-13.11111111111111
75,Shinji Nakano,-13.176470588235293
76,Jan Magnussen,-13.928571428571429
82,Norberto Fontana,-14.0
36,Franck Montagny,-14.142857142857142
116,Franck Lagorce,-14.5
66,Allan McNish,-15.0
97,Massimiliano Papis,-15.0
110,Andrea de Cesaris,-15.1
105,Michele Alboreto,-15.133333333333333
64,Pedro Diniz,-15.229166666666666
114,Yannick Dalmas,-16.0
100,Érik Comas,-16.071428571428573
73,Ricardo Rosset,-16.307692307692307
112,Philippe Alliot,-16.5
72,Stéphane Sarrazin,-17.0
74,Esteban Tuero,-17.142857142857142
93,Domenico Schiattarella,-17.142857142857142
89,Taki Inoue,-17.333333333333332
113,Philippe Adams,-17.5
58,Tarso Marques,-17.6
111,Jean-Marc Gounon,-18.428571428571427
34,Yuji Ide,-18.5
90,Roberto Moreno,-19.058823529411764
98,Jean-Denis Délétraz,-19.333333333333332
106,Olivier Beretta,-19.333333333333332
101,David Brabham,-19.4
85,Andrea Montermini,-20.095238095238095
107,Roland Ratzenberger,-20.5
827,André Lotterer,-21.0
62,Alex Yoong,-21.333333333333332
92,Bertrand Gachot,-21.6
28,Markus Winkelhock,-22.0
115,Hideki Noda,-23.333333333333332
86,Giovanni Lavaggi,-23.75
108,Paul Belmondo,-26.5
